mode	drug	no_feats	F1-score_macro	c_param
expr_snps	Ceftazidim	13	0.8093	0.01
expr_snps	Ceftazidim	42	0.8059	0.015
expr_snps	Ceftazidim	146	0.8022	0.04
expr_snps	Ceftazidim	119	0.8022	0.03
expr_snps	Ceftazidim	129	0.8022	0.85
expr_snps	Ceftazidim	103	0.7985	0.025
expr_snps	Ceftazidim	159	0.7985	0.05
expr_snps	Ceftazidim	73	0.7948	0.02
expr_snps	Ceftazidim	168	0.7947	0.07
expr_snps	Ceftazidim	166	0.791	0.15
expr_snps	Ceftazidim	123	0.791	1.0
expr_snps	Ceftazidim	202	0.7835	0.2
expr_snps	Ceftazidim	123	0.7835	0.3
expr_snps	Ceftazidim	150	0.7761	0.1
expr_snps	Ceftazidim	109	0.7759	0.085
expr_snps	Ceftazidim	10	0.7758	0.0085
expr_snps	Ceftazidim	155	0.7722	0.4
expr_snps	Ceftazidim	136	0.7686	0.7
expr_snps	Ceftazidim	158	0.7648	0.25
expr_snps	Ceftazidim	131	0.7612	0.5
expr_snps	Ceftazidim	5	0.7295	0.007
expr_snps	Ceftazidim	2	0.7147	0.005
expr_snps	Ceftazidim	1	0.3444	0.004
expr_snps	Ceftazidim	0	0.335	0.002
expr_snps	Ceftazidim	0	0.335	0.0025
expr_snps	Ceftazidim	0	0.335	0.003
expr_snps	Ceftazidim	0	0.335	0.0015
expr_snps	Ceftazidim	0	0.335	0.001
expr_snps	Ciprofloxacin	43	0.9118	0.02
expr_snps	Ciprofloxacin	56	0.9118	0.025
expr_snps	Ciprofloxacin	60	0.9115	0.4
expr_snps	Ciprofloxacin	74	0.9047	0.5
expr_snps	Ciprofloxacin	45	0.9046	0.2
expr_snps	Ciprofloxacin	57	0.9046	0.05
expr_snps	Ciprofloxacin	60	0.9046	0.03
expr_snps	Ciprofloxacin	67	0.9046	0.04
expr_snps	Ciprofloxacin	47	0.9046	0.3
expr_snps	Ciprofloxacin	47	0.9044	0.085
expr_snps	Ciprofloxacin	63	0.9042	0.07
expr_snps	Ciprofloxacin	56	0.9042	0.1
expr_snps	Ciprofloxacin	41	0.9042	0.15
expr_snps	Ciprofloxacin	19	0.9008	0.015
expr_snps	Ciprofloxacin	55	0.8944	0.85
expr_snps	Ciprofloxacin	46	0.8939	0.25
expr_snps	Ciprofloxacin	48	0.8906	0.7
expr_snps	Ciprofloxacin	7	0.8896	0.0085
expr_snps	Ciprofloxacin	8	0.8896	0.01
expr_snps	Ciprofloxacin	5	0.8896	0.007
expr_snps	Ciprofloxacin	2	0.8896	0.005
expr_snps	Ciprofloxacin	1	0.8896	0.004
expr_snps	Ciprofloxacin	1	0.8896	0.003
expr_snps	Ciprofloxacin	58	0.8839	1.0
expr_snps	Ciprofloxacin	1	0.6906	0.0025
expr_snps	Ciprofloxacin	0	0.3084	0.0015
expr_snps	Ciprofloxacin	0	0.3084	0.002
expr_snps	Ciprofloxacin	0	0.3084	0.001
expr_snps	Meropenem	101	0.8321	0.03
expr_snps	Meropenem	83	0.8286	0.025
expr_snps	Meropenem	117	0.8137	0.04
expr_snps	Meropenem	66	0.8096	0.02
expr_snps	Meropenem	132	0.7956	0.07
expr_snps	Meropenem	142	0.7922	0.085
expr_snps	Meropenem	112	0.7922	0.05
expr_snps	Meropenem	102	0.7907	0.7
expr_snps	Meropenem	128	0.7859	0.3
expr_snps	Meropenem	94	0.7832	1.0
expr_snps	Meropenem	30	0.7829	0.015
expr_snps	Meropenem	146	0.7777	0.1
expr_snps	Meropenem	110	0.7757	0.15
expr_snps	Meropenem	118	0.7743	0.4
expr_snps	Meropenem	9	0.7733	0.01
expr_snps	Meropenem	109	0.7733	0.85
