Isolate	Origin	Geographic Origin
CH2660	Charité Berlin	Berlin
CH2527	Charité Berlin	Berlin
CH2560	Charité Berlin	Berlin
CH2543	Charité Berlin	Berlin
CH2608	Charité Berlin	Berlin
CH2658	Charité Berlin	Berlin
CH2537	Charité Berlin	Berlin
CH2591	Charité Berlin	Berlin
CH2623	Charité Berlin	Berlin
CH2705	Charité Berlin	Berlin
CH2718	Charité Berlin	Berlin
CH2687	Charité Berlin	Berlin
CH2730	Charité Berlin	Berlin
CH2699	Charité Berlin	Berlin
CH2582	Charité Berlin	Berlin
CH2522	Charité Berlin	Berlin
CH2598	Charité Berlin	Berlin
CH2597	Charité Berlin	Berlin
CH3797	Charité Berlin	Berlin
CH3882	Charité Berlin	Berlin
CH3906	Charité Berlin	Berlin
CH4035	Charité Berlin	Berlin
CH4047	Charité Berlin	Berlin
CH4083	Charité Berlin	Berlin
CH4411	Charité Berlin	Berlin
CH4418	Charité Berlin	Berlin
CH4433	Charité Berlin	Berlin
CH4438	Charité Berlin	Berlin
CH4459	Charité Berlin	Berlin
CH4489	Charité Berlin	Berlin
CH4496	Charité Berlin	Berlin
CH4507	Charité Berlin	Berlin
CH4509	Charité Berlin	Berlin
CH4520	Charité Berlin	Berlin
CH4528	Charité Berlin	Berlin
CH4602	Charité Berlin	Berlin
CH4634	Charité Berlin	Berlin
CH4681	Charité Berlin	Berlin
CH4684	Charité Berlin	Berlin
CH4703	Charité Berlin	Berlin
CH4704	Charité Berlin	Berlin
CH4733	Charité Berlin	Berlin
CH4780	Charité Berlin	Berlin
CH4785	Charité Berlin	Berlin
CH4786	Charité Berlin	Berlin
CH4840	Charité Berlin	Berlin
CH4860	Charité Berlin	Berlin
CH4877	Charité Berlin	Berlin
CH4878	Charité Berlin	Berlin
CH4914	Charité Berlin	Berlin
CH5262	Charité Berlin	Berlin
CH5291	Charité Berlin	Berlin
CH5334	Charité Berlin	Berlin
CH5353	Charité Berlin	Berlin
CH5528	Charité Berlin	Berlin
CH5531	Charité Berlin	Berlin
CH2747	Charité Berlin	Berlin
CH2748	Charité Berlin	Berlin
CH2756	Charité Berlin	Berlin
CH2764	Charité Berlin	Berlin
CH3290	Charité Berlin	Berlin
CH4766	Charité Berlin	Berlin
CH2735	Charité Berlin	Berlin
CH2746	Charité Berlin	Berlin
CH5548	Charité Berlin	Berlin
CH5550	Charité Berlin	Berlin
MHH15151	Hannover Medical School	Hanover
MHH15152	Hannover Medical School	Hanover
MHH15187	Hannover Medical School	Hanover
MHH15204	Hannover Medical School	Hanover
MHH15275	Hannover Medical School	Hanover
MHH15280	Hannover Medical School	Hanover
MHH15817	Hannover Medical School	Hanover
MHH16050	Hannover Medical School	Hanover
MHH16208	Hannover Medical School	Hanover
MHH16371	Hannover Medical School	Hanover
MHH16373	Hannover Medical School	Hanover
MHH16379	Hannover Medical School	Hanover
MHH16427	Hannover Medical School	Hanover
MHH16459	Hannover Medical School	Hanover
MHH16513	Hannover Medical School	Hanover
MHH16530	Hannover Medical School	Hanover
MHH16563	Hannover Medical School	Hanover
MHH16610	Hannover Medical School	Hanover
MHH17441	Hannover Medical School	Hanover
MHH17501	Hannover Medical School	Hanover
MHH17546	Hannover Medical School	Hanover
MHH16951	Hannover Medical School	Hanover
PSAE1642	Munich	Munich
PSAE1647	Munich	Munich
PSAE1649	Munich	Munich
PSAE1651	Munich	Munich
PSAE1654	Munich	Munich
PSAE1837	Gera	Gera
PSAE1912	Regensburg	Regensburg
PSAE1934	Bremen	Bremen
PSAE1975	Regensburg	Regensburg
PSAE2125	Neubrandenburg	Neubrandenburg
CH2472	Charité Berlin	Berlin
CH2671	Charité Berlin	Berlin
CH2672	Charité Berlin	Berlin
CH2674	Charité Berlin	Berlin
CH2675	Charité Berlin	Berlin
CH2677	Charité Berlin	Berlin
CH2680	Charité Berlin	Berlin
CH2682	Charité Berlin	Berlin
CH2706	Charité Berlin	Berlin
CH2734	Charité Berlin	Berlin
CH3613	Charité Berlin	Berlin
CH4755	Charité Berlin	Berlin
PSAE2126	Neubrandenburg	Neubrandenburg
PSAE2325	Neubrandenburg	Neubrandenburg
PSAE1970	Regensburg	Regensburg
CH4862	Charité Berlin	Berlin
CH5362	Charité Berlin	Berlin
CH5432	Charité Berlin	Berlin
CH5066	Charité Berlin	Berlin
CH5159	Charité Berlin	Berlin
CH5174	Charité Berlin	Berlin
CH5182	Charité Berlin	Berlin
CH2502	Charité Berlin	Berlin
CH5206	Charité Berlin	Berlin
CH4891	Charité Berlin	Berlin
CH2639	Charité Berlin	Berlin
CH4443	Charité Berlin	Berlin
CH4446	Charité Berlin	Berlin
ZG5044412	nd	nd
CH2678	Charité Berlin	Berlin
CH5596	Charité Berlin	Berlin
CH5621	Charité Berlin	Berlin
CH2500	Charité Berlin	Berlin
CH2685	Charité Berlin	Berlin
CH2707	Charité Berlin	Berlin
CH2690	Charité Berlin	Berlin
CH2698	Charité Berlin	Berlin
CH3462	Charité Berlin	Berlin
CH2724	Charité Berlin	Berlin
CH2829	Charité Berlin	Berlin
CH2830	Charité Berlin	Berlin
CH2848	Charité Berlin	Berlin
CH5267	Charité Berlin	Berlin
CH2804	Charité Berlin	Berlin
CH2824	Charité Berlin	Berlin
CH3466	Charité Berlin	Berlin
CH4549	Charité Berlin	Berlin
CH4560	Charité Berlin	Berlin
CH4574	Charité Berlin	Berlin
CH4584	Charité Berlin	Berlin
CH5052	Charité Berlin	Berlin
CH4916	Charité Berlin	Berlin
CH4976	Charité Berlin	Berlin
CH4990	Charité Berlin	Berlin
CH5022	Charité Berlin	Berlin
CH4992	Charité Berlin	Berlin
ZG02420619	Riesa	Riesa
ZG02488718	Radebeul	Radebeul
ZG02512057	Radebeul	Radebeul
CH5688	Charité Berlin	Berlin
ZG322541	Zwickau	Zwickau
CH2922	Charité Berlin	Berlin
MHH15015	Hannover Medical School	Hanover
CH2939	Charité Berlin	Berlin
CH5695	Charité Berlin	Berlin
CH3173	Charité Berlin	Berlin
CH3484	Charité Berlin	Berlin
CH3549	Charité Berlin	Berlin
CH4548	Charité Berlin	Berlin
CH5462	Charité Berlin	Berlin
CH5464	Charité Berlin	Berlin
CH5478	Charité Berlin	Berlin
CH2713	Charité Berlin	Berlin
CH2657	Charité Berlin	Berlin
CH2691	Charité Berlin	Berlin
CH2665	Charité Berlin	Berlin
CH5363	Charité Berlin	Berlin
CH5387	Charité Berlin	Berlin
CH5551	Charité Berlin	Berlin
ZG5048010	nd	nd
ZG5051896	nd	nd
ZG5089417	nd	nd
ZG5089456	nd	nd
ZG8006959	Leipzig	Leipzig
ZG8038581181	Chemnitz	Chemnitz
CH3177	Charité Berlin	Berlin
CH3325	Charité Berlin	Berlin
PSAE1656	Munich	Munich
CH3563	Charité Berlin	Berlin
CH3570	Charité Berlin	Berlin
CH2860	Charité Berlin	Berlin
CH2875	Charité Berlin	Berlin
CH5193	Charité Berlin	Berlin
CH4591	Charité Berlin	Berlin
CH5356	Charité Berlin	Berlin
ZG5003493	Leipzig	Leipzig
ZG5021922	Leipzig	Leipzig
CH4745	Charité Berlin	Berlin
CH4757	Charité Berlin	Berlin
PSAE1641	Munich	Munich
PSAE1742	Freiburg	Freiburg
PSAE2139	Romania	Romania
ZG314696	Görlitz	Görlitz
ZG8510487	Leipzig	Leipzig
ZG8525123	nd	nd
MHH14990	Hannover Medical School	Hanover
CH5638	Charité Berlin	Berlin
CH5666	Charité Berlin	Berlin
MHH15083	Hannover Medical School	Hanover
MHH15103	Hannover Medical School	Hanover
MHH17233	Hannover Medical School	Hanover
MHH17247	Hannover Medical School	Hanover
PSAE1401	Stuttgart	Stuttgart
PSAE1438	Stuttgart	Stuttgart
CH3606	Charité Berlin	Berlin
PSAE1635	Munich	Munich
CH3648	Charité Berlin	Berlin
CH5591	Charité Berlin	Berlin
PSAE1645	Munich	Munich
PSAE2127	Hungary	Hungary
PSAE1745	Munich	Munich
ZG314738	Görlitz	Görlitz
ZG314777	Görlitz	Görlitz
MHH16727	Hannover Medical School	Hanover
ZG316694	Görlitz	Görlitz
MHH16798	Hannover Medical School	Hanover
MHH14911	Hannover Medical School	Hanover
