final all	Tobramycin_S-vs-R	Ceftazidim_S-vs-R	Ciprofloxacin_S-vs-R	Meropenem_S-vs-R	Colistin_S-vs-R
CF592_Iso2	0.0	1.0	0.0		0
CF609_Iso3		1.0	0.0	1.0	0
CH2500	0.0	0.0	1.0	0.0	0
CH2502	0.0			1.0	0
CH2522	0.0	1.0			1
CH2527	0.0	0.0	0.0	0.0	0
CH2543	1.0	0.0	1.0	1.0	0
CH2560	1.0	1.0	1.0	0.0	0
CH2582	0.0	0.0	1.0		0
CH2591	1.0	1.0	1.0	1.0	0
CH2597	0.0			0.0	0
CH2598	0.0	0.0	0.0	1.0	0
CH2608	1.0	1.0	1.0	1.0	1
CH2623	1.0		1.0	1.0	1
CH2639	1.0	1.0	1.0	1.0	0
CH2657	1.0	0.0	1.0	1.0	0
CH2658	0.0		1.0	1.0	0
CH2660	0.0	1.0	0.0	1.0	0
CH2665	1.0	1.0	1.0	1.0	0
CH2672	0.0	0.0	1.0	1.0	0
CH2674	1.0		1.0	1.0	0
CH2675	1.0		1.0	1.0	0
CH2677	0.0	0.0	1.0	1.0	0
CH2678	0.0	0.0	1.0	0.0	1
CH2680	0.0		0.0	0.0	0
CH2682	0.0		0.0	1.0	0
CH2685	0.0	0.0	0.0	1.0	0
CH2687	0.0	0.0	1.0	1.0	0
CH2690	0.0	0.0	0.0	0.0	0
CH2698	1.0	0.0	1.0	1.0	0
CH2699	1.0		1.0	1.0	1
CH2705	1.0	1.0	1.0	1.0	1
CH2706	1.0	1.0	1.0	1.0	0
CH2707	1.0	1.0	0.0	1.0	0
CH2713	0.0	0.0	0.0	1.0	0
CH2718	0.0	0.0	0.0		1
CH2724	0.0	0.0	0.0	1.0	0
CH2730	0.0	0.0	0.0		0
CH2734	0.0		1.0	0.0	0
CH2735	0.0	0.0	1.0	1.0	0
CH2747	0.0	0.0	0.0	1.0	0
CH2748	1.0		1.0	1.0	0
CH2756	0.0	0.0	0.0	0.0	1
CH2764	0.0	1.0	0.0	0.0	0
CH2824	0.0	0.0	0.0	1.0	0
CH2829	0.0	0.0	0.0	0.0	0
CH2848	0.0		0.0	0.0	0
CH2860	0.0	1.0	1.0	1.0	0
CH2875	1.0	0.0		1.0	0
CH2922	0.0	0.0	0.0	0.0	0
CH2939	0.0	0.0	0.0	0.0	0
CH3173	1.0	1.0	1.0	0.0	0
CH3177	0.0	0.0	0.0	1.0	0
CH3290	1.0		1.0	1.0	1
CH3325	0.0	1.0	0.0	1.0	0
CH3462	0.0	0.0	0.0	1.0	0
CH3466	0.0		1.0	1.0	1
CH3484	0.0	0.0		1.0	0
CH3549	0.0	0.0	0.0		0
CH3570	1.0	1.0	1.0	0.0	1
CH3613	1.0	1.0	1.0	1.0	0
CH3648	1.0	1.0	1.0	0.0	1
CH3797	0.0		1.0	1.0	1
CH3882	0.0	0.0	1.0		0
CH3906	0.0	0.0	0.0	0.0	0
CH4035	1.0	1.0	1.0		1
CH4083	0.0		0.0	1.0	0
CH4411	1.0	1.0	1.0	0.0	0
CH4418	0.0		0.0	0.0	0
CH4433	1.0	1.0	1.0	0.0	0
CH4438	0.0	1.0	1.0		0
CH4443	1.0	1.0	1.0	0.0	0
CH4446	0.0	0.0			0
CH4489	0.0	0.0	0.0	1.0	0
CH4509	0.0	0.0	0.0	0.0	1
CH4520	0.0		0.0	0.0	1
CH4528	0.0	0.0	1.0		0
CH4548	1.0	1.0	1.0	0.0	1
CH4549	0.0	0.0	0.0		0
CH4560	1.0	1.0	1.0	1.0	0
CH4584		1.0	1.0	1.0	0
CH4591	0.0	0.0			0
CH4602	0.0	0.0	0.0	0.0	0
CH4634	0.0	0.0	1.0	1.0	0
CH4681	0.0	1.0	0.0	0.0	0
CH4684	0.0		0.0	0.0	0
CH4703	0.0	1.0		1.0	0
CH4704	0.0	1.0	0.0	1.0	0
CH4733	0.0	0.0	0.0	0.0	0
CH4745	1.0	1.0	1.0	1.0	0
CH4755	0.0	0.0	1.0	1.0	0
CH4757	0.0	1.0	0.0	1.0	0
CH4766	0.0	1.0		1.0	0
CH4780	0.0	1.0	1.0	1.0	1
CH4785	0.0		1.0	1.0	0
CH4840	0.0	1.0	0.0	1.0	0
CH4860	0.0	0.0	1.0	1.0	0
CH4862	1.0	0.0	1.0	1.0	0
CH4877	1.0	1.0	1.0	1.0	0
CH4878	0.0	1.0	0.0		0
CH4891	0.0	0.0	0.0	0.0	0
CH4914	0.0	0.0	0.0	0.0	1
CH4916	0.0	1.0	0.0	1.0	0
CH4990	0.0		0.0	1.0	0
CH4992	0.0	0.0	1.0		0
CH5022	1.0		1.0	1.0	0
CH5052	1.0	0.0	1.0		0
CH5066	0.0	1.0	0.0	0.0	0
CH5159	1.0	1.0	1.0	0.0	0
CH5174	1.0	1.0	1.0	1.0	0
CH5182	0.0	1.0		1.0	0
CH5193	1.0	1.0	1.0	0.0	0
CH5206	0.0	1.0	0.0	0.0	0
CH5262	0.0	0.0	0.0	0.0	0
CH5267	0.0		0.0	1.0	0
CH5291	0.0	1.0	0.0	1.0	0
CH5334	0.0	0.0	1.0	1.0	0
CH5353	0.0		0.0	1.0	0
CH5356	1.0	0.0	1.0	0.0	0
CH5362	0.0	0.0			0
CH5363	0.0	1.0	0.0	1.0	1
CH5387	0.0		0.0	1.0	0
CH5432		0.0	1.0	1.0	0
CH5462	0.0	1.0	0.0	1.0	0
CH5464	1.0	0.0	1.0	1.0	0
CH5478	0.0		0.0	1.0	0
CH5528	0.0		1.0		0
CH5531	0.0	1.0			1
CH5548	0.0			1.0	1
CH5550	0.0	0.0	1.0	1.0	1
CH5551	1.0		1.0	1.0	1
CH5591	1.0	1.0	1.0	1.0	1
CH5596	0.0	0.0	0.0	1.0	0
CH5597	0.0		0.0	1.0	0
CH5621	0.0	1.0	1.0	0.0	0
CH5638	0.0		1.0	1.0	0
CH5666	1.0	1.0	1.0	1.0	0
CH5688	1.0		1.0	1.0	0
CH5695	1.0	1.0	1.0	1.0	0
