drug	F1-score_macro	measure	mode	no_samples
Ciprofloxacin	0.572	F1-score_macro	expr_snps	41
Ceftazidim	0.735	F1-score_macro	expr_snps	41
Tobramycin	0.789	F1-score_macro	expr_snps	41
Ciprofloxacin	0.488	F1-score_macro	expr	41
Ceftazidim	0.639	F1-score_macro	expr	41
Tobramycin	0.735	F1-score_macro	expr	41
Ciprofloxacin	0.533	F1-score_macro	gpa_expr_snps	41
Ceftazidim	0.739	F1-score_macro	gpa_expr_snps	41
Tobramycin	0.752	F1-score_macro	gpa_expr_snps	41
Ciprofloxacin	0.449	F1-score_macro	gpa_expr	41
Ceftazidim	0.514	F1-score_macro	gpa_expr	41
Tobramycin	0.802	F1-score_macro	gpa_expr	41
Ciprofloxacin	0.682	F1-score_macro	gpa_snps	41
Ceftazidim	0.689	F1-score_macro	gpa_snps	41
Tobramycin	0.814	F1-score_macro	gpa_snps	41
Ciprofloxacin	0.683	F1-score_macro	gpa	41
Ceftazidim	0.631	F1-score_macro	gpa	41
Tobramycin	0.829	F1-score_macro	gpa	41
Ciprofloxacin	0.65	F1-score_macro	snps	41
Ceftazidim	0.631	F1-score_macro	snps	41
Tobramycin	0.696	F1-score_macro	snps	41
Meropenem	0.411	F1-score_macro	expr_snps	41
Ciprofloxacin	0.798	F1-score_macro	expr_snps	41
Ceftazidim	0.457	F1-score_macro	expr_snps	41
Tobramycin	0.707	F1-score_macro	expr_snps	41
Meropenem	0.515	F1-score_macro	expr	41
Ciprofloxacin	0.724	F1-score_macro	expr	41
Ceftazidim	0.566	F1-score_macro	expr	41
Tobramycin	0.79	F1-score_macro	expr	41
Meropenem	0.429	F1-score_macro	gpa_expr_snps	41
Ciprofloxacin	0.798	F1-score_macro	gpa_expr_snps	41
Ceftazidim	0.525	F1-score_macro	gpa_expr_snps	41
Tobramycin	0.813	F1-score_macro	gpa_expr_snps	41
Meropenem	0.377	F1-score_macro	gpa_expr	41
Ciprofloxacin	0.825	F1-score_macro	gpa_expr	41
Ceftazidim	0.633	F1-score_macro	gpa_expr	41
Tobramycin	0.842	F1-score_macro	gpa_expr	41
Meropenem	0.458	F1-score_macro	gpa_snps	41
Ciprofloxacin	0.856	F1-score_macro	gpa_snps	41
Ceftazidim	0.514	F1-score_macro	gpa_snps	41
Tobramycin	0.831	F1-score_macro	gpa_snps	41
Meropenem	0.663	F1-score_macro	gpa	41
Ciprofloxacin	0.802	F1-score_macro	gpa	41
Ceftazidim	0.722	F1-score_macro	gpa	41
Tobramycin	0.917	F1-score_macro	gpa	41
Meropenem	0.479	F1-score_macro	snps	41
Ciprofloxacin	0.798	F1-score_macro	snps	41
Ceftazidim	0.306	F1-score_macro	snps	41
Tobramycin	0.685	F1-score_macro	snps	41
Meropenem	0.563	F1-score_macro	expr_snps	41
Ciprofloxacin	0.771	F1-score_macro	expr_snps	41
Ceftazidim	0.498	F1-score_macro	expr_snps	41
Tobramycin	0.62	F1-score_macro	expr_snps	41
Meropenem	0.822	F1-score_macro	expr	41
Ciprofloxacin	0.676	F1-score_macro	expr	41
Ceftazidim	0.778	F1-score_macro	expr	41
Tobramycin	0.783	F1-score_macro	expr	41
Meropenem	0.585	F1-score_macro	gpa_expr_snps	41
Ciprofloxacin	0.743	F1-score_macro	gpa_expr_snps	41
Ceftazidim	0.524	F1-score_macro	gpa_expr_snps	41
Tobramycin	0.566	F1-score_macro	gpa_expr_snps	41
Meropenem	0.668	F1-score_macro	gpa_expr	41
Ciprofloxacin	0.624	F1-score_macro	gpa_expr	41
Ceftazidim	0.777	F1-score_macro	gpa_expr	41
Tobramycin	0.675	F1-score_macro	gpa_expr	41
Meropenem	0.52	F1-score_macro	gpa_snps	41
Ciprofloxacin	0.743	F1-score_macro	gpa_snps	41
Ceftazidim	0.554	F1-score_macro	gpa_snps	41
Tobramycin	0.684	F1-score_macro	gpa_snps	41
Meropenem	0.483	F1-score_macro	gpa	41
Ciprofloxacin	0.409	F1-score_macro	gpa	41
Ceftazidim	0.472	F1-score_macro	gpa	41
Tobramycin	0.705	F1-score_macro	gpa	41
Meropenem	0.464	F1-score_macro	snps	41
Ciprofloxacin	0.771	F1-score_macro	snps	41
