drug	pos_recall	pos_recall_std	neg_recall	neg_recall_std	precision	precision_std	npv	npv_std	balanced_accuracy	balanced_accuracy_std	F1-score_micro	F1-score_micro_std	F1-score_macro	F1-score_macro_std	AUC	cv_mode	mode
Meropenem	0.826	0.109	0.843	0.17	0.92	0.081	0.688	0.118	0.834	0.1	0.87	0.085	0.814	0.09	0.877	block_cv	expr
Tobramycin	0.647	0.39	0.852	0.175	0.667	0.361	0.841	0.21	0.75	0.129	0.657	0.306	0.752	0.112	0.823	block_cv	expr
Ciprofloxacin	0.679	0.266	0.859	0.123	0.857	0.213	0.683	0.155	0.769	0.156	0.758	0.229	0.76	0.164	0.798	block_cv	expr
Ceftazidim	0.782	0.21	0.815	0.24	0.806	0.129	0.791	0.233	0.798	0.126	0.794	0.147	0.798	0.129	0.862	block_cv	expr
Meropenem	0.759	0.14	0.82	0.21	0.902	0.102	0.608	0.173	0.79	0.129	0.825	0.099	0.762	0.12	0.883	block_cv	expr_snps
Tobramycin	0.608	0.408	0.901	0.31	0.738	0.413	0.834	0.318	0.755	0.181	0.667	0.358	0.767	0.209	0.803	block_cv	expr_snps
Ciprofloxacin	0.918	0.094	0.836	0.087	0.874	0.127	0.892	0.072	0.877	0.079	0.896	0.105	0.879	0.086	0.915	block_cv	expr_snps
Ceftazidim	0.647	0.225	0.852	0.116	0.811	0.176	0.71	0.203	0.749	0.11	0.72	0.174	0.747	0.128	0.84	block_cv	expr_snps
Meropenem	0.872	0.095	0.888	0.148	0.944	0.07	0.76	0.148	0.88	0.097	0.907	0.071	0.863	0.095	0.914	standard_cv	expr_snps
Tobramycin	0.833	0.135	0.937	0.052	0.859	0.092	0.925	0.053	0.885	0.065	0.846	0.081	0.888	0.057	0.929	standard_cv	expr_snps
Ciprofloxacin	0.912	0.074	0.844	0.106	0.879	0.079	0.885	0.093	0.878	0.085	0.895	0.073	0.88	0.084	0.931	standard_cv	expr_snps
Ceftazidim	0.789	0.141	0.793	0.095	0.789	0.095	0.793	0.099	0.791	0.086	0.789	0.106	0.791	0.089	0.842	standard_cv	expr_snps
Meropenem	0.851	0.097	0.831	0.119	0.917	0.055	0.718	0.128	0.841	0.071	0.883	0.061	0.827	0.074	0.889	standard_cv	expr
Tobramycin	0.863	0.135	0.906	0.061	0.807	0.105	0.935	0.059	0.884	0.075	0.834	0.097	0.877	0.07	0.938	standard_cv	expr
Ciprofloxacin	0.78	0.084	0.773	0.126	0.81	0.086	0.739	0.085	0.777	0.083	0.795	0.073	0.775	0.084	0.841	standard_cv	expr
Ceftazidim	0.82	0.114	0.793	0.109	0.796	0.089	0.817	0.088	0.806	0.077	0.807	0.084	0.806	0.078	0.872	standard_cv	expr
Meropenem	0.856	0.099	0.775	0.208	0.893	0.064	0.711	0.113	0.816	0.092	0.874	0.064	0.808	0.085	0.852	block_cv	gpa
Tobramycin	0.716	0.377	0.964	0.234	0.901	0.413	0.881	0.207	0.84	0.171	0.798	0.357	0.859	0.173	0.895	block_cv	gpa
Ciprofloxacin	0.566	0.18	0.734	0.187	0.726	0.218	0.577	0.227	0.65	0.158	0.636	0.191	0.641	0.134	0.696	block_cv	gpa
Ceftazidim	0.436	0.226	0.778	0.182	0.659	0.326	0.583	0.155	0.607	0.105	0.525	0.225	0.596	0.106	0.627	block_cv	gpa
Meropenem	0.882	0.079	0.798	0.17	0.905	0.081	0.755	0.131	0.84	0.088	0.894	0.058	0.835	0.082	0.93	block_cv	gpa_expr
Tobramycin	0.833	0.379	0.951	0.232	0.885	0.421	0.926	0.086	0.892	0.182	0.859	0.376	0.898	0.186	0.934	block_cv	gpa_expr
Ciprofloxacin	0.686	0.254	0.781	0.142	0.796	0.214	0.667	0.148	0.733	0.16	0.736	0.218	0.728	0.16	0.779	block_cv	gpa_expr
Ceftazidim	0.684	0.137	0.911	0.137	0.883	0.097	0.745	0.19	0.798	0.09	0.771	0.106	0.796	0.107	0.884	block_cv	gpa_expr
Meropenem	0.867	0.111	0.843	0.19	0.923	0.082	0.743	0.121	0.855	0.08	0.894	0.063	0.842	0.065	0.9	block_cv	gpa_expr_snps
Tobramycin	0.804	0.406	0.951	0.229	0.882	0.41	0.914	0.154	0.877	0.19	0.841	0.382	0.886	0.185	0.929	block_cv	gpa_expr_snps
Ciprofloxacin	0.931	0.084	0.836	0.099	0.876	0.125	0.907	0.072	0.883	0.078	0.902	0.098	0.886	0.085	0.927	block_cv	gpa_expr_snps
Ceftazidim	0.669	0.162	0.904	0.143	0.873	0.095	0.735	0.202	0.786	0.099	0.757	0.118	0.784	0.116	0.85	block_cv	gpa_expr_snps
Meropenem	0.867	0.074	0.843	0.13	0.923	0.061	0.743	0.11	0.855	0.078	0.894	0.054	0.842	0.075	0.934	standard_cv	gpa_expr_snps
Tobramycin	0.882	0.112	0.933	0.038	0.857	0.071	0.945	0.047	0.908	0.057	0.87	0.071	0.904	0.049	0.964	standard_cv	gpa_expr_snps
Ciprofloxacin	0.912	0.08	0.836	0.105	0.873	0.074	0.884	0.095	0.874	0.074	0.892	0.066	0.876	0.074	0.923	standard_cv	gpa_expr_snps
Ceftazidim	0.805	0.139	0.793	0.074	0.793	0.076	0.805	0.114	0.799	0.082	0.799	0.096	0.799	0.083	0.863	standard_cv	gpa_expr_snps
Meropenem	0.908	0.062	0.854	0.105	0.932	0.047	0.809	0.116	0.881	0.065	0.919	0.043	0.875	0.066	0.95	standard_cv	gpa_expr
Tobramycin	0.892	0.098	0.955	0.036	0.901	0.073	0.951	0.041	0.924	0.051	0.897	0.064	0.925	0.046	0.961	standard_cv	gpa_expr
Ciprofloxacin	0.755	0.098	0.859	0.104	0.87	0.093	0.738	0.084	0.807	0.08	0.808	0.083	0.801	0.081	0.845	standard_cv	gpa_expr
Ceftazidim	0.789	0.104	0.822	0.093	0.814	0.078	0.799	0.078	0.806	0.032	0.802	0.039	0.806	0.031	0.864	standard_cv	gpa_expr
Meropenem	0.862	0.107	0.775	0.249	0.894	0.068	0.719	0.162	0.818	0.113	0.877	0.07	0.812	0.112	0.869	block_cv	gpa_snps
Tobramycin	0.627	0.394	0.906	0.238	0.753	0.427	0.842	0.178	0.767	0.159	0.684	0.314	0.779	0.171	0.861	block_cv	gpa_snps
Ciprofloxacin	0.918	0.066	0.836	0.099	0.874	0.12	0.892	0.061	0.877	0.068	0.896	0.086	0.879	0.076	0.936	block_cv	gpa_snps
Ceftazidim	0.421	0.194	0.696	0.189	0.577	0.208	0.55	0.212	0.559	0.131	0.487	0.184	0.551	0.137	0.533	block_cv	gpa_snps
Meropenem	0.882	0.074	0.843	0.175	0.925	0.073	0.765	0.122	0.862	0.1	0.903	0.06	0.853	0.094	0.892	standard_cv	gpa_snps
Tobramycin	0.794	0.16	0.942	0.055	0.862	0.101	0.909	0.056	0.868	0.081	0.827	0.12	0.876	0.078	0.927	standard_cv	gpa_snps
Ciprofloxacin	0.918	0.073	0.852	0.104	0.885	0.073	0.893	0.086	0.885	0.068	0.901	0.06	0.887	0.067	0.95	standard_cv	gpa_snps
Ceftazidim	0.647	0.132	0.622	0.131	0.628	0.083	0.641	0.095	0.634	0.083	0.637	0.088	0.634	0.084	0.654	standard_cv	gpa_snps
Meropenem	0.856	0.064	0.854	0.166	0.928	0.068	0.731	0.097	0.855	0.095	0.891	0.056	0.839	0.088	0.885	standard_cv	gpa
Tobramycin	0.824	0.114	0.946	0.045	0.875	0.097	0.921	0.045	0.885	0.06	0.848	0.082	0.891	0.056	0.929	standard_cv	gpa
Ciprofloxacin	0.78	0.077	0.766	0.102	0.805	0.062	0.737	0.056	0.773	0.049	0.792	0.047	0.772	0.049	0.835	standard_cv	gpa
Ceftazidim	0.647	0.169	0.674	0.176	0.662	0.092	0.659	0.098	0.66	0.077	0.654	0.096	0.66	0.081	0.702	standard_cv	gpa
