MIC	variable	value	mode	drug
0.5	total	3.0	expr_snps	Ceftazidim
1.0	total	28.0	expr_snps	Ceftazidim
2.0	total	38.0	expr_snps	Ceftazidim
4.0	total	33.0	expr_snps	Ceftazidim
8.0	total	39.0	expr_snps	Ceftazidim
32.0	total	39.0	expr_snps	Ceftazidim
64.0	total	32.0	expr_snps	Ceftazidim
128.0	total	33.0	expr_snps	Ceftazidim
256.0	total	7.0	expr_snps	Ceftazidim
512.0	total	8.0	expr_snps	Ceftazidim
1024.0	total	18.0	expr_snps	Ceftazidim
0.5	misclassified	2.0	expr_snps	Ceftazidim
1.0	misclassified	4.0	expr_snps	Ceftazidim
2.0	misclassified	6.0	expr_snps	Ceftazidim
4.0	misclassified	9.0	expr_snps	Ceftazidim
8.0	misclassified	7.0	expr_snps	Ceftazidim
32.0	misclassified	9.0	expr_snps	Ceftazidim
64.0	misclassified	9.0	expr_snps	Ceftazidim
128.0	misclassified	6.0	expr_snps	Ceftazidim
256.0	misclassified	4.0	expr_snps	Ceftazidim
512.0	misclassified	0.0	expr_snps	Ceftazidim
1024.0	misclassified	0.0	expr_snps	Ceftazidim
16.0	intermediate (not classified)	80.0	expr_snps	Ceftazidim
0.06	total	10.0	expr_snps	Ciprofloxacin
0.125	total	34.0	expr_snps	Ciprofloxacin
0.25	total	27.0	expr_snps	Ciprofloxacin
0.5	total	35.0	expr_snps	Ciprofloxacin
1.0	total	33.0	expr_snps	Ciprofloxacin
4.0	total	26.0	expr_snps	Ciprofloxacin
8.0	total	19.0	expr_snps	Ciprofloxacin
16.0	total	44.0	expr_snps	Ciprofloxacin
32.0	total	56.0	expr_snps	Ciprofloxacin
64.0	total	24.0	expr_snps	Ciprofloxacin
128.0	total	10.0	expr_snps	Ciprofloxacin
256.0	total	6.0	expr_snps	Ciprofloxacin
0.06	misclassified	1.0	expr_snps	Ciprofloxacin
0.125	misclassified	1.0	expr_snps	Ciprofloxacin
0.25	misclassified	3.0	expr_snps	Ciprofloxacin
0.5	misclassified	7.0	expr_snps	Ciprofloxacin
1.0	misclassified	8.0	expr_snps	Ciprofloxacin
4.0	misclassified	4.0	expr_snps	Ciprofloxacin
8.0	misclassified	7.0	expr_snps	Ciprofloxacin
16.0	misclassified	1.0	expr_snps	Ciprofloxacin
32.0	misclassified	1.0	expr_snps	Ciprofloxacin
64.0	misclassified	1.0	expr_snps	Ciprofloxacin
128.0	misclassified	0.0	expr_snps	Ciprofloxacin
256.0	misclassified	0.0	expr_snps	Ciprofloxacin
2.0	intermediate (not classified)	56.0	expr_snps	Ciprofloxacin
0.25	total	2.0	expr_snps	Colistin
0.5	total	9.0	expr_snps	Colistin
1.0	total	54.0	expr_snps	Colistin
2.0	total	221.0	expr_snps	Colistin
4.0	total	41.0	expr_snps	Colistin
8.0	total	9.0	expr_snps	Colistin
16.0	total	2.0	expr_snps	Colistin
32.0	total	1.0	expr_snps	Colistin
0.25	misclassified	0.0	expr_snps	Colistin
0.5	misclassified	2.0	expr_snps	Colistin
1.0	misclassified	4.0	expr_snps	Colistin
2.0	misclassified	37.0	expr_snps	Colistin
4.0	misclassified	28.0	expr_snps	Colistin
8.0	misclassified	4.0	expr_snps	Colistin
16.0	misclassified	0.0	expr_snps	Colistin
32.0	misclassified	0.0	expr_snps	Colistin
0.125	total	9.0	expr_snps	Meropenem
0.25	total	20.0	expr_snps	Meropenem
0.5	total	24.0	expr_snps	Meropenem
1.0	total	31.0	expr_snps	Meropenem
2.0	total	16.0	expr_snps	Meropenem
8.0	total	70.0	expr_snps	Meropenem
16.0	total	64.0	expr_snps	Meropenem
32.0	total	32.0	expr_snps	Meropenem
64.0	total	23.0	expr_snps	Meropenem
128.0	total	7.0	expr_snps	Meropenem
256.0	total	3.0	expr_snps	Meropenem
512.0	total	20.0	expr_snps	Meropenem
0.125	misclassified	1.0	expr_snps	Meropenem
0.25	misclassified	1.0	expr_snps	Meropenem
0.5	misclassified	0.0	expr_snps	Meropenem
1.0	misclassified	3.0	expr_snps	Meropenem
2.0	misclassified	5.0	expr_snps	Meropenem
8.0	misclassified	11.0	expr_snps	Meropenem
16.0	misclassified	7.0	expr_snps	Meropenem
32.0	misclassified	3.0	expr_snps	Meropenem
64.0	misclassified	1.0	expr_snps	Meropenem
128.0	misclassified	2.0	expr_snps	Meropenem
256.0	misclassified	1.0	expr_snps	Meropenem
512.0	misclassified	0.0	expr_snps	Meropenem
4.0	intermediate (not classified)	60.0	expr_snps	Meropenem
0.125	total	6.0	expr_snps	Tobramycin
0.25	total	31.0	expr_snps	Tobramycin
0.5	total	63.0	expr_snps	Tobramycin
1.0	total	89.0	expr_snps	Tobramycin
2.0	total	56.0	expr_snps	Tobramycin
4.0	total	17.0	expr_snps	Tobramycin
16.0	total	2.0	expr_snps	Tobramycin
32.0	total	4.0	expr_snps	Tobramycin
64.0	total	16.0	expr_snps	Tobramycin
128.0	total	35.0	expr_snps	Tobramycin
256.0	total	26.0	expr_snps	Tobramycin
512.0	total	12.0	expr_snps	Tobramycin
1024.0	total	18.0	expr_snps	Tobramycin
0.125	misclassified	0.0	expr_snps	Tobramycin
0.25	misclassified	2.0	expr_snps	Tobramycin
0.5	misclassified	4.0	expr_snps	Tobramycin
1.0	misclassified	3.0	expr_snps	Tobramycin
2.0	misclassified	5.0	expr_snps	Tobramycin
4.0	misclassified	1.0	expr_snps	Tobramycin
16.0	misclassified	3.0	expr_snps	Tobramycin
32.0	misclassified	2.0	expr_snps	Tobramycin
64.0	misclassified	3.0	expr_snps	Tobramycin
128.0	misclassified	2.0	expr_snps	Tobramycin
256.0	misclassified	4.0	expr_snps	Tobramycin
512.0	misclassified	1.0	expr_snps	Tobramycin
1024.0	misclassified	1.0	expr_snps	Tobramycin
8.0	intermediate (not classified)	8.0	expr_snps	Tobramycin
0.5	total	5.0	expr	Ceftazidim
1.0	total	26.0	expr	Ceftazidim
2.0	total	40.0	expr	Ceftazidim
4.0	total	33.0	expr	Ceftazidim
8.0	total	37.0	expr	Ceftazidim
32.0	total	39.0	expr	Ceftazidim
64.0	total	34.0	expr	Ceftazidim
128.0	total	36.0	expr	Ceftazidim
256.0	total	8.0	expr	Ceftazidim
512.0	total	7.0	expr	Ceftazidim
1024.0	total	17.0	expr	Ceftazidim
0.5	misclassified	0.0	expr	Ceftazidim
1.0	misclassified	6.0	expr	Ceftazidim
2.0	misclassified	4.0	expr	Ceftazidim
4.0	misclassified	9.0	expr	Ceftazidim
8.0	misclassified	9.0	expr	Ceftazidim
32.0	misclassified	9.0	expr	Ceftazidim
64.0	misclassified	7.0	expr	Ceftazidim
128.0	misclassified	3.0	expr	Ceftazidim
256.0	misclassified	3.0	expr	Ceftazidim
512.0	misclassified	1.0	expr	Ceftazidim
1024.0	misclassified	1.0	expr	Ceftazidim
16.0	intermediate (not classified)	80.0	expr	Ceftazidim
0.06	total	9.0	expr	Ciprofloxacin
0.125	total	32.0	expr	Ciprofloxacin
0.25	total	24.0	expr	Ciprofloxacin
0.5	total	32.0	expr	Ciprofloxacin
1.0	total	33.0	expr	Ciprofloxacin
4.0	total	17.0	expr	Ciprofloxacin
8.0	total	20.0	expr	Ciprofloxacin
16.0	total	39.0	expr	Ciprofloxacin
32.0	total	51.0	expr	Ciprofloxacin
64.0	total	22.0	expr	Ciprofloxacin
128.0	total	9.0	expr	Ciprofloxacin
256.0	total	6.0	expr	Ciprofloxacin
0.06	misclassified	2.0	expr	Ciprofloxacin
0.125	misclassified	3.0	expr	Ciprofloxacin
0.25	misclassified	6.0	expr	Ciprofloxacin
0.5	misclassified	10.0	expr	Ciprofloxacin
1.0	misclassified	8.0	expr	Ciprofloxacin
4.0	misclassified	13.0	expr	Ciprofloxacin
8.0	misclassified	6.0	expr	Ciprofloxacin
16.0	misclassified	6.0	expr	Ciprofloxacin
32.0	misclassified	6.0	expr	Ciprofloxacin
64.0	misclassified	3.0	expr	Ciprofloxacin
128.0	misclassified	1.0	expr	Ciprofloxacin
256.0	misclassified	0.0	expr	Ciprofloxacin
