drug	mode	lower	upper	p_val	inner_cor	inner_miscl	outer_cor	outer_miscl	pval.adj	is_sig
Ceftazidim	expr_snps	8	32	0.144278510950197	55	23	155	45	0.14745938150006	FALSE
Ceftazidim	expr_snps	4	64	0.00841359339942022	99	44	111	24	0.0210339834985505	TRUE
Ceftazidim	expr_snps	2	128	0.14745938150006	158	56	52	12	0.14745938150006	FALSE
Ceftazidim	expr_snps	1	256	0.043236715497222	184	65	26	3	0.0720611924953701	FALSE
Ceftazidim	expr_snps	0.5	512	0.00531801251781319	192	68	18	0	0.0210339834985505	TRUE
Ciprofloxacin	expr_snps	1	4	0.00380615668762693	44	15	237	28	0.00507487558350258	FALSE
Ciprofloxacin	expr_snps	0.5	8	1.48629975494779e-08	81	32	200	11	5.94519901979115e-08	TRUE
Ciprofloxacin	expr_snps	0.25	16	1.31083053187355e-05	147	37	134	6	2.62166106374711e-05	FALSE
Ciprofloxacin	expr_snps	0.125	32	0.0216044404123354	233	41	48	2	0.0216044404123354	FALSE
Meropenem	expr_snps	2	8	0.0220822266229861	68	18	207	26	0.0552055665574652	TRUE
Meropenem	expr_snps	1	16	0.01486334924833	149	32	126	12	0.0552055665574652	TRUE
Meropenem	expr_snps	0.5	32	0.074436787765193	200	37	75	7	0.124061312941988	FALSE
Meropenem	expr_snps	0.25	64	0.346003068190006	240	40	35	4	0.346003068190006	FALSE
Meropenem	expr_snps	0.125	128	0.143998014350861	253	43	22	1	0.179997517938576	FALSE
Tobramycin	expr_snps	4	16	0.0972646181558602	15	4	324	32	0.29179385446758	FALSE
Tobramycin	expr_snps	2	32	0.050847287567282	67	12	272	24	0.29179385446758	FALSE
Tobramycin	expr_snps	1	64	0.259934901571982	164	20	175	16	0.519869803143964	FALSE
Tobramycin	expr_snps	0.5	128	0.743437909957148	256	26	83	10	0.743437909957148	FALSE
Tobramycin	expr_snps	0.25	256	0.537083581826595	306	33	33	3	0.644500298191914	FALSE
Tobramycin	expr_snps	0.125	512	0.468263807694554	322	35	17	1	0.644500298191914	FALSE
Ceftazidim	expr	8	32	0.0169791648915856	50	26	163	43	0.0424479122289639	FALSE
Ceftazidim	expr	4	64	0.000233655840795339	95	48	118	21	0.00116827920397669	TRUE
Ceftazidim	expr	2	128	0.265399013214929	163	56	50	13	0.265399013214929	FALSE
Ceftazidim	expr	1	256	0.0432727570331569	187	66	26	3	0.062559258484678	FALSE
Ceftazidim	expr	0.5	512	0.0500474067877424	197	68	16	1	0.062559258484678	FALSE
Ciprofloxacin	expr	1	4	5.92941473068811e-05	25	25	192	52	7.90588630758415e-05	FALSE
Ciprofloxacin	expr	0.5	8	7.38465969231184e-06	59	43	158	34	2.95386387692474e-05	TRUE
Ciprofloxacin	expr	0.25	16	1.48308545072862e-05	106	59	111	18	2.96617090145723e-05	FALSE
Ciprofloxacin	expr	0.125	32	0.176856812145199	180	68	37	9	0.176856812145199	FALSE
Meropenem	expr	2	8	0.00414392873772083	60	23	196	31	0.0131021730386639	TRUE
Meropenem	expr	1	16	0.00524086921546555	134	39	122	15	0.0131021730386639	TRUE
Meropenem	expr	0.5	32	0.0543710535031848	184	45	72	9	0.0644241680968923	FALSE
Meropenem	expr	0.25	64	0.0108761802837064	216	52	40	2	0.0181269671395106	FALSE
Meropenem	expr	0.125	128	0.0644241680968923	234	53	22	1	0.0644241680968923	FALSE
Tobramycin	expr	4	16	0.00359282554920504	11	6	323	31	0.0215569532952303	TRUE
Tobramycin	expr	2	32	0.0612488529949011	66	12	268	25	0.122497705989802	FALSE
Tobramycin	expr	1	64	0.0228160147356089	154	24	180	13	0.0684480442068268	FALSE
Tobramycin	expr	0.5	128	0.219799737630264	246	30	88	7	0.257433874813408	FALSE
Tobramycin	expr	0.25	256	0.257433874813408	299	35	35	2	0.257433874813408	FALSE
Tobramycin	expr	0.125	512	0.12885272620924	315	37	19	0	0.19327908931386	FALSE
Ceftazidim	gpa_expr_snps	8	32	0.0242701671034128	52	25	162	41	0.0404502785056881	FALSE
Ceftazidim	gpa_expr_snps	4	64	0.000872701737754989	97	45	117	21	0.00436350868877495	TRUE
Ceftazidim	gpa_expr_snps	2	128	0.0991774916586085	160	55	54	11	0.0991774916586085	FALSE
Ceftazidim	gpa_expr_snps	1	256	0.0543894837817259	188	63	26	3	0.0679868547271574	FALSE
Ceftazidim	gpa_expr_snps	0.5	512	0.0066327081898526	196	66	18	0	0.0165817704746315	FALSE
Ciprofloxacin	gpa_expr_snps	1	4	0.000203765933019347	40	17	240	26	0.000271687910692462	FALSE
Ciprofloxacin	gpa_expr_snps	0.5	8	1.59541964828008e-09	79	33	201	10	6.38167859312033e-09	TRUE
Ciprofloxacin	gpa_expr_snps	0.25	16	1.44869546766579e-05	147	37	133	6	2.89739093533158e-05	FALSE
Ciprofloxacin	gpa_expr_snps	0.125	32	0.0765027862281021	234	40	46	3	0.0765027862281021	FALSE
Meropenem	gpa_expr_snps	2	8	0.0961532107417864	71	16	200	27	0.0961532107417864	FALSE
Meropenem	gpa_expr_snps	1	16	0.00222979290504493	143	33	128	10	0.0111489645252247	TRUE
Meropenem	gpa_expr_snps	0.5	32	0.00949437012311099	192	38	79	5	0.0187699578317135	FALSE
Meropenem	gpa_expr_snps	0.25	64	0.0112619746990281	230	42	41	1	0.0187699578317135	FALSE
Meropenem	gpa_expr_snps	0.125	128	0.0251713885580745	247	43	24	0	0.0314642356975932	FALSE
Tobramycin	gpa_expr_snps	4	16	0.203932310195072	17	3	332	27	0.828948508489145	FALSE
Tobramycin	gpa_expr_snps	2	32	0.690790423740955	78	6	271	24	0.828948508489145	FALSE
Tobramycin	gpa_expr_snps	1	64	0.689358591596961	173	14	176	16	0.828948508489145	FALSE
Tobramycin	gpa_expr_snps	0.5	128	0.913975770274129	266	20	83	10	0.913975770274129	FALSE
Tobramycin	gpa_expr_snps	0.25	256	0.685321910225322	316	27	33	3	0.828948508489145	FALSE
Tobramycin	gpa_expr_snps	0.125	512	0.574324859359232	332	29	17	1	0.828948508489145	FALSE
Ceftazidim	gpa_expr	8	32	0.0130987083744889	51	26	164	41	0.0163733854681111	FALSE
Ceftazidim	gpa_expr	4	64	0.000720513492390361	98	46	117	21	0.00360256746195181	TRUE
Ceftazidim	gpa_expr	2	128	0.183877696481395	163	55	52	12	0.183877696481395	FALSE
