	Ceftazidim_predicted
F2075	0
CH2698	1
CH4757	0
CH2678	1
CH5052	1
ZG8038581181	0
CH5432	1
F2240	0
ESP025	0
ESP066	1
MHH15275	1
F2030	1
ESP091	1
CH4443	0
F1812	1
CH2875	1
CH4602	1
PSAE1745	1
F2055	0
M70646077	1
CH4433	0
CH5464	1
CH2707	0
F2020	0
CH4704	0
MHH2419	1
CH2657	1
F2176	1
ESP006	1
F1787	0
ESP012	0
ESP072	0
M70565897	0
MHH16050	0
CH2543	1
CH4733	1
ESP068	0
MHH16530	0
F1764	0
CF609_Iso3	0
MS2	0
F1997	0
M70663247	1
ESP009	1
ESP002	0
F2005	0
CH3325	0
CH5066	0
MHH15817	0
CH4411	0
CH2522	0
F1712	0
F1821	0
MHH17767	0
M70565254	0
F2044	1
MHH0426	1
ESP053	1
ESP071	1
MHH0927	1
CF592_Iso2	1.0
CH2500	0.0
CH2527	0.0
CH2560	1.0
CH2582	0.0
CH2591	1.0
CH2598	0.0
CH2608	1.0
CH2639	1.0
CH2660	1.0
CH2665	1.0
CH2672	0.0
CH2677	0.0
CH2685	0.0
CH2687	0.0
CH2690	0.0
CH2705	1.0
CH2706	1.0
CH2713	0.0
CH2718	0.0
CH2724	0.0
CH2730	0.0
CH2735	0.0
CH2747	0.0
CH2756	0.0
CH2764	1.0
CH2824	0.0
CH2829	0.0
CH2860	1.0
CH2922	0.0
CH2939	0.0
CH3173	1.0
CH3177	0.0
CH3462	0.0
CH3484	0.0
CH3549	0.0
CH3570	1.0
CH3613	1.0
CH3648	1.0
CH3882	0.0
CH3906	0.0
CH4035	1.0
CH4438	1.0
CH4446	0.0
CH4489	0.0
CH4509	0.0
CH4528	0.0
CH4548	1.0
CH4549	0.0
CH4560	1.0
CH4584	1.0
CH4591	0.0
CH4634	0.0
CH4681	1.0
CH4703	1.0
CH4745	1.0
CH4755	0.0
CH4766	1.0
CH4780	1.0
CH4840	1.0
CH4860	0.0
CH4862	0.0
CH4877	1.0
CH4878	1.0
CH4891	0.0
CH4914	0.0
CH4916	1.0
CH4992	0.0
CH5159	1.0
CH5174	1.0
CH5182	1.0
CH5193	1.0
CH5206	1.0
CH5262	0.0
CH5291	1.0
CH5334	0.0
CH5356	0.0
CH5362	0.0
CH5363	1.0
CH5462	1.0
CH5531	1.0
CH5550	0.0
CH5591	1.0
CH5596	0.0
CH5621	1.0
CH5666	1.0
CH5695	1.0
ESP003	0.0
ESP004	0.0
ESP011	0.0
ESP013	0.0
ESP015	0.0
ESP020	0.0
ESP021	0.0
ESP022	0.0
ESP023	1.0
ESP024	0.0
ESP027	1.0
ESP028	0.0
ESP029	0.0
ESP031	0.0
ESP032	0.0
ESP033	0.0
ESP034	0.0
ESP035	0.0
ESP036	0.0
ESP037	0.0
ESP038	0.0
ESP039	0.0
ESP040	0.0
ESP044	0.0
ESP046	0.0
ESP050	0.0
ESP055	0.0
ESP057	0.0
ESP064	1.0
ESP067	0.0
ESP069	1.0
ESP070	1.0
ESP073	1.0
ESP074	1.0
ESP076	1.0
ESP077	1.0
ESP078	1.0
ESP088	1.0
F1659	0.0
F1688	1.0
F1689	1.0
F1697	1.0
F1706	1.0
F1724	1.0
F1727	1.0
F1741	1.0
F1745	1.0
F1746	1.0
F1747	1.0
F1748	1.0
F1752	1.0
F1754	1.0
F1757	1.0
F1758	1.0
F1760	1.0
F1763	1.0
F1775	1.0
F1789	1.0
F1795	1.0
F1801	1.0
F1810	1.0
F1853	1.0
F1862	1.0
F1864	1.0
F1869	1.0
F1880	0.0
F1894	1.0
F1968	1.0
F1979	1.0
F1983	1.0
F2000	1.0
F2003	1.0
F2006	1.0
F2010	1.0
F2017	0.0
F2034	0.0
F2035	0.0
F2040	1.0
F2045	1.0
F2054	1.0
F2064	1.0
F2073	1.0
F2093	0.0
F2097	1.0
F2098	1.0
F2119	1.0
F2137	1.0
F2148	1.0
F2165	1.0
F2166	1.0
F2167	1.0
F2199	1.0
F2230	1.0
F2234	1.0
F2235	1.0
F2236	1.0
M70563004	1.0
