Isolate	group_id
CF592_Iso2	313
CF609_Iso3	-
CH2500	253
CH2502	274
CH2522	132
CH2527	17
CH2543	235
CH2560	235
CH2582	27
CH2591	235
CH2597	645
CH2598	360
CH2608	235
CH2623	654
CH2639	235
CH2657	235
CH2658	1031
CH2660	2469
CH2665	357
CH2672	446
CH2674	235
CH2675	235
CH2677	313
CH2678	293
CH2680	252
CH2682	17
CH2685	296
CH2687	309
CH2690	252
CH2698	111
CH2699	235
CH2705	2592
CH2706	664
CH2707	360
CH2713	253
CH2718	267
CH2724	274
CH2730	316
CH2734	316
CH2735	697
CH2747	395
CH2748	235
CH2756	2533
CH2764	275
CH2824	1182
CH2829	253
CH2848	274
CH2860	2469
CH2875	395
CH2922	926
CH2939	259
CH3173	235
CH3177	-
CH3290	-
CH3325	447
CH3462	253
CH3466	244
CH3484	27
CH3549	190
CH3570	244
CH3613	111
CH3648	235
CH3797	319
CH3882	244
CH3906	27
CH4035	235
CH4083	1108
CH4411	17
CH4418	235
CH4433	2211
CH4438	132
CH4443	395
CH4446	2241
CH4489	1197
CH4509	132
CH4520	389
CH4528	697
CH4548	235
CH4549	17
CH4560	235
CH4584	1108
CH4591	244
CH4602	235
CH4634	446
CH4681	244
CH4684	2171
CH4703	-
CH4704	794
CH4733	17
CH4745	235
CH4755	27
CH4757	253
CH4766	871
CH4780	2331
CH4785	389
CH4840	274
CH4860	27
CH4862	1086
CH4877	357
CH4878	663
CH4891	27
CH4914	111
CH4916	235
CH4990	395
CH4992	27
CH5022	235
CH5052	235
CH5066	1007
CH5159	235
CH5174	235
CH5182	564
CH5193	235
CH5206	2171
CH5262	980
CH5267	446
CH5291	275
CH5334	620
CH5353	1756
CH5356	1455
CH5362	804
CH5363	245
CH5387	-
CH5432	273
CH5462	238
CH5464	235
CH5478	498
CH5528	671
CH5531	168
CH5548	2615
CH5550	261
CH5551	654
CH5591	2592
CH5596	2223
CH5597	564
CH5621	641
CH5638	260
CH5666	235
CH5688	235
CH5695	235
ESP002	1072
ESP003	701
ESP004	701
ESP006	299
ESP009	1613
ESP011	179
ESP012	1109
ESP013	1109
ESP015	312
ESP020	308
ESP021	253
ESP022	244
ESP023	1527
ESP024	155
ESP025	1613
ESP027	505
ESP028	1339
ESP029	277
ESP031	606
ESP032	938
ESP033	312
ESP034	1637
ESP035	386
ESP036	198
ESP037	316
ESP038	1144
ESP039	550
ESP040	550
ESP043	175
ESP044	2618
ESP046	-
ESP047	175
ESP050	279
ESP053	235
ESP055	1244
ESP057	-
ESP058	267
ESP059	-
ESP060	155
ESP061	175
ESP063	175
ESP064	179
ESP066	175
ESP067	-
ESP068	235
ESP069	179
ESP070	446
ESP071	175
ESP072	1247
ESP073	1247
ESP074	175
ESP075	-
ESP076	-
ESP077	1978
ESP078	179
ESP079	175
ESP081	277
ESP082	175
ESP083	175
ESP084	179
ESP088	175
ESP091	235
F1659	298
F1688	1750
F1689	1750
F1697	235
F1706	244
F1712	175
